,combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
0,6.0,1.01,6.0,6.0,0.94219,0.0165,3043.85,300.0,Compound -1517199182444263872,0.0,20.0,0.19,3483.1221,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -1517199182444263872
1,6.0,5.08,6.0,6.0,0.98107,2.06e-07,492.61,300.0,Compound -3719194969711690939,0.0,20.0,9e-08,131.608,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.632638830140794e-19,Compound -3719194969711690939
2,6.0,11704.64,6.0,6.0,0.94835,6.4e-06,2859.79,300.0,Compound -3511225134872878996,0.0,20.0,1.5e-07,7.1078,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.378502123808773e-12,Compound -3511225134872878996
3,6.0,289.41,6.0,6.0,0.93194,0.0002,4205.73,300.0,Compound 7282453062738742072,0.0,20.0,0.00095,1423.8461,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 7282453062738742072
4,6.0,61.02,6.0,6.0,0.93225,4.09e-07,965.75,300.0,Compound -8127241141292225586,0.0,20.0,7.7e-06,5666.8117,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.0800043044567466e-17,Compound -8127241141292225586
5,6.0,220.23,6.0,6.0,0.90667,6.07e-05,59.52,300.0,Compound -4496780563765182314,0.0,20.0,2.1e-05,101.7808,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,10.26281309910811,Compound -4496780563765182314
6,6.0,2.82,6.0,6.0,0.91774,4.97e-10,6190.34,300.0,Compound 3507570714914412886,0.0,20.0,3.4e-11,20.7534,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3507570714914412886
7,6.0,172.83,6.0,6.0,0.98315,9.3e-05,2945.05,300.0,Compound 6928690714334456344,0.0,20.0,0.015,48509.3503,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.8915966568123296e-11,Compound 6928690714334456344
8,6.0,2.73,6.0,6.0,0.96377,16.3,260.45,300.0,Compound -786394358139511174,0.0,20.0,0.0093,0.172,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -786394358139511174
9,6.0,1.12,6.0,6.0,0.9424,0.00104,31.55,300.0,Compound 5309255655867350231,0.0,20.0,0.00063,180.3084,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.807012769444712e-19,Compound 5309255655867350231
