compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,0.compound_pec,0.compound_name
6.0,11.52,6.0,6.0,0.9353,50200.0,827.99,300.0,Compound 512838661210964221,0.0,20.0,21000.0,127.5277,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.2264492750187007e-05,Compound 512838661210964221
6.0,102.99,6.0,6.0,0.93282,68.8,4.79,300.0,Compound 7555500863424205107,0.0,20.0,360.0,1580.3316,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.03521737598275457,Compound 7555500863424205107
6.0,281.95,6.0,6.0,0.91081,0.000116,39.93,300.0,Compound 7759118758385722110,0.0,20.0,0.00014,353.554,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,19.726728683252084,Compound 7759118758385722110
6.0,32.95,6.0,6.0,0.97779,13100.0,282.2,300.0,Compound -7163520028967251607,0.0,20.0,2100.0,48.5949,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.00017082943553300587,Compound -7163520028967251607
6.0,5.29,6.0,6.0,0.97698,0.0359,554.55,300.0,Compound -5798948338747454542,0.0,20.0,3.1e-06,0.0258,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,8.346136466335293e-22,Compound -5798948338747454542
6.0,20.27,6.0,6.0,0.98674,2.6,114.91,300.0,Compound -3061280018797542644,0.0,20.0,0.55,63.5224,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.4703300885864846e-05,Compound -3061280018797542644
6.0,53.45,6.0,6.0,0.99987,0.00173,21771.2,300.0,Compound -6381536368908124616,0.0,20.0,0.0021,361.9025,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -6381536368908124616
6.0,1222.89,6.0,6.0,0.90596,0.0844,18129.38,300.0,Compound 3768886732752148184,0.0,20.0,0.0067,23.727,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 3768886732752148184
6.0,316.34,6.0,6.0,0.92714,0.000139,13928.13,300.0,Compound 2737056866769407257,0.0,20.0,1.5e-06,3.1686,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 2737056866769407257
6.0,25.61,6.0,6.0,0.94134,0.0194,25156.91,300.0,Compound 3044547636232070648,0.0,20.0,0.0047,73.2893,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 3044547636232070648
