39 Crops
Crop       Root Depth  Intercept LAIMax  Aft.Harv  Dry Mass   Emergence   Maturation   Harvest   Senescence Tillage  poorly exposded fr  irr pren KC1   KC2  Tlflg LAIMIN  Springpt DD MM Beer LAI_SP AMXDR_SP CINTCP_SP  
Grass            10       0.4       5.0     2        0.20        01 01 01    02 01 01    31 12 01   30 12 01  01 01 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     1.       0     00 00 0.39 0.0        0.0     0.0
Meadow           15       0.5       5.0     2        0.50        01 01 01    02 01 01    31 12 01   30 12 01  01 01 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     0        0     00 00 0.39 0.0        0.0     0.0
Sillage Maize   160       0.275     3.8     3        1.35        05 05 01    30 07 01    20 09 01   21 08 01  05 04 01 0.2 0.2 0.2 0.2    1   0   1.10  0.56   0     0        0     00 00 0.39 0.0        0.0     0.0
Grain Maize     160       0.275     3.8     3        1.05        05 05 01    30 07 01    15 10 01   21 08 01  05 04 01 0.2 0.2 0.2 0.2    1   0   1.10  0.56   0     0        0     00 00 0.39 0.0        0.0     0.0
Spring Barley    90       0.1       3.9     3        1.00        07 04 01    05 07 01    25 07 01   15 07 01  07 03 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        0     00 00 0.39 0.0        0.0     0.0
Winter Barley   110       0.1       3.8     3        1.30        05 10 01    15 06 02    10 07 02   01 07 01  05 09 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        1     15 04 0.39 0.0        0.0     0.0
Spring Cereals  110       0.1       3.9     3        1.10        01 04 01    20 07 01    20 08 01   31 07 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        0     00 00 0.39 0.0        0.0     0.0
Winter Cereals  140       0.1       3.8     3        1.40        05 11 01    10 07 02    10 08 02   16 07 02  05 10 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        0     15 04 0.39 0.1       20.0     0.0
Sugar Beet      150       0.35      4.2     3        2.10        15 04 01    30 08 01    10 10 01   08 09 01  15 03 01 0.2 0.2 0.2 0.2    1   0   1.10  0.60   0     0        0     00 00 0.39 0.0        0.0     0.0
Oats            120       0.1       3.9     3        1.00        07 04 01    20 07 01    10 08 01   01 08 01  07 03 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        0     00 00 0.39 0.0        0.0     0.0
Rye             140       0.1       3.8     3        1.40        10 10 01    10 06 02    20 07 02   24 06 02  10 09 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        1     15 04 0.39 0.0        0.0     0.0
Winter Rape     130       0.275     4.0     3        1.00        02 09 01    05 05 02    28 07 02   28 06 01  02 08 01 0.2 0.2 0.2 0.2    1   0   1.10  0.86   0     0        1     15 04 0.39 0.1       20.0     0.0
Soybeans         60       0.0       6.5     1        1.00        10 05 01    31 07 01    05 10 01   10 09 01  10 04 01 0.2 0.2 0.2 0.2    1   0   1.05  0.45   0     0        0     00 00 0.39 0.0        0.0     0.0
Potato           90       0.30      4.0     3        2.00        10 05 01    20 07 01    15 09 01   16 08 01  10 04 01 0.2 0.2 0.2 0.2    1   0   1.10  0.70   0     0        0     00 00 0.39 0.0        0.0     0.0
Beans           100       0.30      4.0     3        0.86        10 04 01    05 08 01    25 08 01   05 08 01  10 03 01 0.2 0.2 0.2 0.2    1   0   1.10  0.30   0     0        0     00 00 0.39 0.0        0.0     0.0
Turf Grass       70       0.50      5.0     2        0.53        25 08 01    15 03 02    15 03 02   15 03 02  25 07 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     1.       0     00 00 0.39 0.0        0.0     0.0
Vines           200       0.00      3.0     2        0.00        01 04 01    31 07 01    01 11 01   11 08 01  01 03 01 0.2 0.2 0.2 0.2    1   1   0.75  0.55   0     0        0     00 00 0.39 0.0        0.0     0.0
Tomatoes        100       0.0       6.0     1        1.00        10 05 01    30 06 01    25 08 01   26 07 01  10 04 01 0.2 0.2 0.2 0.2    1   0   1.10  0.60   0     0        0     00 00 0.39 0.0        0.0     0.0
Strawberries     70       0.0       2.5     1        1.00        15 03 01    30 04 01    31 08 01   01 08 01  15 02 01 0.2 0.2 0.2 0.2    1   0   1.00  1.00   0     0        0     00 00 0.39 0.0        0.0     0.0
Grass cut        45       0.5       5.0     2        1.00        01 03 01    15 05 01    15 05 01   15 05 01  01 02 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     1.       0     00 00 0.39 0.0        0.0     0.0
Grass cut 2      45       0.5       5.0     2        1.00        16 05 01    01 07 01    01 07 01   01 07 01  16 04 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     1.       0     00 00 0.39 0.0        0.0     0.0
Grass cut 3      45       0.5       5.0     2        1.00        02 07 01    15 08 01    15 08 01   15 08 01  02 06 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     1.       0     00 00 0.39 0.0        0.0     0.0
Grass cut 4      45       0.5       5.0     2        1.00        16 08 01    30 09 01    30 09 01   30 09 01  16 07 01 0.2 0.2 0.2 0.2    1   1   1.00  1.00   0     1        0     00 00 0.39 0.0        0.0     0.0
Apples           70       0.50      4.0     2        1.00        25 03 01    15 06 01    20 10 01   30 09 01  25 02 01 0.2 0.2 0.2 0.2    1   1   1.10  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Sunflower       100       0.0       4.0     1        1.35        20 04 01    20 06 01    20 09 01   26 08 01  20 03 01 0.2 0.2 0.2 0.2    1   0   1.10  0.40   0     0        0     00 00 0.39 0.0        0.0     0.0
Cabbage 1st     100       0.5       3.0     3        1.35        20 04 01    31 05 01    15 07 01   30 06 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.00  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Carrots 1st     100       0.5       3.0     3        1.35        10 03 01    20 04 01    31 05 01   01 05 01  01 03 01 0.2 0.2 0.2 0.2    1   0   1.05  0.75   0     0        0     00 00 0.39 0.0        0.0     0.0
Summer Rape      90       0.0       3.0     1        1.00        22 03 01    31 05 01    25 08 01   26 07 01  22 02 01 0.2 0.2 0.2 0.2    1   0   1.00  0.86   0     0        0     00 00 0.39 0.0        0.0     0.0
Bushberries      60       0.0       4.0     1        1.00        10 05 01    25 05 01    25 10 01   06 08 01  10 04 01 0.2 0.2 0.2 0.2    1   0   0.75  0.55   0     0        0     00 00 0.39 0.0        0.0     0.0
