combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,20.1,6.0,6.0,0.86,97.8,22.7,300.0,Compound 982454786614334961,0.0,20.0,7.4,22.7,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 982454786614334961
6.0,320.79,6.0,6.0,1.0,342.0,271315.0,300.0,Compound -6146195590686557456,0.0,20.0,310000.0,271315.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -6146195590686557456
6.0,65.5,6.0,6.0,0.88,5.99e-06,410573.74,300.0,Compound -8836412477772645418,0.0,20.0,0.0082,410573.7432,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -8836412477772645418
6.0,179.52,6.0,6.0,1.0,496.0,290670.16,300.0,Compound -8639445445661512765,0.0,20.0,480000.0,290670.1638,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -8639445445661512765
6.0,1.0,6.0,6.0,1.0,-1.78e-26,-1305050.78,300.0,Compound 5142243961019303142,0.0,20.0,7.8e-23,-1305050.7826,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 5142243961019303142
6.0,24.4,6.0,6.0,0.97,0.00171,965.0,300.0,Compound 8114758799109967584,0.0,20.0,0.0055,965.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 8114758799109967584
6.0,5.45,6.0,6.0,1.0,133000000.0,419.0,300.0,Compound -8697916722706386582,0.0,20.0,190000000.0,419.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -8697916722706386582
6.0,0.58,6.0,6.0,1.0,0.000241,348506.01,300.0,Compound 7449990443485971170,0.0,20.0,0.28,348506.0079,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 7449990443485971170
6.0,28.5,6.0,6.0,1.0,0.084,1322.0,300.0,Compound -3580114280737809055,0.0,20.0,0.37,1322.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -3580114280737809055
6.0,62.97,6.0,6.0,1.0,0.0206,189332.2,300.0,Compound -6350617584922831238,0.0,20.0,13.0,189332.2012,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -6350617584922831238
