combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound -5052881865355123753,0.0,20.0,68000000.0,10.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,2.130687636736024e-09,Compound -5052881865355123753
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound -5052881865355123753,0.0,20.0,68000000.0,10.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,4.1367085910289754e-10,Compound -5052881865355123753
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound -5052881865355123753,0.0,20.0,68000000.0,10.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,1.7546904753537646e-10,Compound -5052881865355123753
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound -5052881865355123753,0.0,20.0,68000000.0,10.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,8.122717799762827e-10,Compound -5052881865355123753
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound -3321875752685396197,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0,Compound -3321875752685396197
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound -5052881865355123753,0.0,20.0,68000000.0,10.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,2.96827572180141e-11,Compound -5052881865355123753
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound -3321875752685396197,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -3321875752685396197
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -5213637101827372126,0.0,20.0,440.0,3.68,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,8.47643480605264e-05,Compound -5213637101827372126
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound -5052881865355123753,0.0,20.0,68000000.0,10.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.875662598151951e-09,Compound -5052881865355123753
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -5213637101827372126,0.0,20.0,440.0,3.68,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,1.5443360469871435e-05,Compound -5213637101827372126
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -5213637101827372126,0.0,20.0,440.0,3.68,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,3.507861454820836e-05,Compound -5213637101827372126
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -5213637101827372126,0.0,20.0,440.0,3.68,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,8.662160267819733e-06,Compound -5213637101827372126
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound -3321875752685396197,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -3321875752685396197
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -5213637101827372126,0.0,20.0,440.0,3.68,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,8.650611245136687e-07,Compound -5213637101827372126
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound -3321875752685396197,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0,Compound -3321875752685396197
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound -3321875752685396197,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound -3321875752685396197
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound -3321875752685396197,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound -3321875752685396197
6.0,199.0,6.0,6.0,0.859,0.0436,15597.25,300.0,Compound 1139669782804254412,0.0,20.0,2.3,15597.2463,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0,Compound 1139669782804254412
6.0,199.0,6.0,6.0,0.859,0.0436,15597.25,300.0,Compound 1139669782804254412,0.0,20.0,2.3,15597.2463,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 1139669782804254412
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -5213637101827372126,0.0,20.0,440.0,3.68,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.234876619998643e-05,Compound -5213637101827372126
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound 6097742137976599016,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0,Compound 6097742137976599016
