compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,72.7,6.0,6.0,1.0,2030000000.0,10.0,300.0,Compound 785192779214381264,0.0,20.0,68000000.0,10.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.875662598151951e-09,Compound 785192779214381264
6.0,8.05,6.0,6.0,0.79,36100.0,3.68,300.0,Compound -4616739667327644029,0.0,20.0,440.0,3.68,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.234876619998643e-05,Compound -4616739667327644029
6.0,2.3,6.0,6.0,0.88,452.0,1179677.21,300.0,Compound 1673379064798700028,0.0,20.0,1800000.0,1179677.2096,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1673379064798700028
6.0,199.0,6.0,6.0,0.859,0.0436,15597.25,300.0,Compound 6134924600288350637,0.0,20.0,2.3,15597.2463,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 6134924600288350637
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -7353747118248856375,0.0,20.0,2000000.0,1179677.2096,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -7353747118248856375
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound -8563189972566722884,0.0,20.0,1900000.0,1179677.2096,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8563189972566722884
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -223134722191784109,0.0,20.0,1800000.0,1179677.2096,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -223134722191784109
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -4880898127232099943,0.0,20.0,8.4e-06,189298.5773,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -4880898127232099943
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound 4145327820251488612,0.0,20.0,2.1,2520.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 4145327820251488612
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 1315784683145091179,0.0,20.0,0.041,110.4,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.9076365417284029,Compound 1315784683145091179
