compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,20.9,6.0,6.0,0.89,1.66e-06,393.0,300.0,Compound 501137811025395212,0.0,20.0,1.6e-06,290.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 501137811025395212
6.0,15.0,6.0,6.0,1.0,438000000.0,42.7,300.0,Compound -3273213042052357947,0.0,20.0,200000000.0,137.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,9.443195755893453e-09,Compound -3273213042052357947
6.0,0.29,6.0,6.0,1.0,0.00166,20.0,300.0,Compound -4055872195899331421,0.0,20.0,0.00094,170.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.0086122511762446e-13,Compound -4055872195899331421
6.0,41.7,6.0,6.0,0.842,22.7,84.8,300.0,Compound -1008212075595362840,0.0,20.0,1.3,16.8,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.4902979012583866e-16,Compound -1008212075595362840
6.0,105.9,6.0,6.0,0.91,0.00247,17.8,300.0,Compound -7343494499049714440,0.0,20.0,0.014,1700.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.357399099830937,Compound -7343494499049714440
6.0,70.0,6.0,6.0,1.0,108000.0,87.0,300.0,Compound 671081028258489757,0.0,20.0,1500000.0,4150.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.969966332464834e-05,Compound 671081028258489757
6.0,140.0,6.0,6.0,1.0,216000.0,50.0,300.0,Compound -7217569840958159140,0.0,20.0,1900000.0,2700.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.7139484152345495e-05,Compound -7217569840958159140
6.0,223.3,6.0,6.0,0.77,1.09,250.0,300.0,Compound -5277057457439271646,0.0,20.0,1.7,468.2,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -5277057457439271646
6.0,39.2,6.0,6.0,0.92,24900.0,1894.0,300.0,Compound -1768797030620203416,0.0,20.0,28.0,0.34,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.0700430601196764e-05,Compound -1768797030620203416
6.0,37.2,6.0,6.0,0.7,0.0203,1545.0,300.0,Compound 134066329751339379,0.0,20.0,0.37,5487.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 134066329751339379
6.0,3.58,6.0,6.0,0.72,12.6,6.5,300.0,Compound 3485304662974404980,0.0,20.0,88.0,2090.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 3485304662974404980
6.0,1.65,6.0,6.0,0.948,6.71e-09,9.58,300.0,Compound 3841313840196206068,0.0,20.0,1.6e-09,69.7,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.635262005338349e-10,Compound 3841313840196206068
6.0,20.3,6.0,6.0,0.97,0.311,107.8,300.0,Compound -6203260691985477925,0.0,20.0,8.3,8000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.890094307748186e-05,Compound -6203260691985477925
6.0,40.0,6.0,6.0,0.966,3e-07,316.0,300.0,Compound -6309428197549345921,0.0,20.0,1e-07,100.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.98109449945303e-06,Compound -6309428197549345921
6.0,53.4,6.0,6.0,0.78,0.00427,72.0,300.0,Compound 6843822419092912503,0.0,20.0,0.0029,203.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.572984818619903e-13,Compound 6843822419092912503
6.0,4.4,6.0,6.0,0.83,0.000111,39.3,300.0,Compound -8815534740728647813,0.0,20.0,0.009,24300.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8815534740728647813
6.0,4.4,6.0,6.0,0.83,0.000111,39.3,300.0,Compound -8815534740728647813,0.0,20.0,0.009,24300.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8815534740728647813
6.0,2.87,6.0,6.0,0.8,6.16e-05,224.0,300.0,Compound -2089791190793698043,0.0,20.0,0.0009,4385.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -2089791190793698043
6.0,8.8,6.0,6.0,0.88,536.0,805.0,300.0,Compound -7601909876967262963,0.0,20.0,8700.0,4870.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -7601909876967262963
6.0,350.0,6.0,6.0,1.0,0.0112,10.0,300.0,Compound 1039043267173357301,0.0,20.0,0.01,268.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,22.009594749522137,Compound 1039043267173357301
6.0,0.35,6.0,6.0,1.0,0.00324,682.0,300.0,Compound -1381687750283698316,0.0,20.0,0.067,6207.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -1381687750283698316
6.0,3.01,6.0,6.0,0.816,0.136,47.5,300.0,Compound 4986378367935535683,0.0,20.0,2.0,4464.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 4986378367935535683
6.0,14.0,6.0,6.0,0.81,7.17,120.8,300.0,Compound -8984708088822397359,0.0,20.0,0.59,24.7,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8984708088822397359
6.0,226.0,6.0,6.0,0.81,509.0,149.0,300.0,Compound 5635003975041070335,0.0,20.0,140.0,80.9,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.00015050308109637906,Compound 5635003975041070335
6.0,6.24,6.0,6.0,0.81,3.75e-06,1209.0,300.0,Compound 5047183399880270258,0.0,20.0,0.0011,88000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 5047183399880270258
6.0,0.19,6.0,6.0,0.6,240.0,177.92,300.0,Compound -1798527082807953556,0.0,20.0,3200.0,4000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -1798527082807953556
6.0,8.35,6.0,6.0,0.852,4.05e-10,664.0,300.0,Compound 8305624159628618538,0.0,20.0,3e-09,2200.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 8305624159628618538
6.0,1.2,6.0,6.0,0.64,0.000525,4.0,300.0,Compound -880202665981294905,0.0,20.0,0.042,24000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -880202665981294905
6.0,88.3,6.0,6.0,0.851,0.00202,2034.0,300.0,Compound -4158854226933309099,0.0,20.0,0.058,8600.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -4158854226933309099
6.0,6.5,6.0,6.0,0.91,0.512,2272.0,300.0,Compound 117577999622588760,0.0,20.0,0.021,12.3,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 117577999622588760
6.0,34.5,6.0,6.0,0.76,943.0,2940.0,300.0,Compound -8107207565794112547,0.0,20.0,13000.0,4070.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8107207565794112547
6.0,29.0,6.0,6.0,0.955,0.171,62.5,300.0,Compound -2030595189422137303,0.0,20.0,10.0,18400.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.00462052192029945,Compound -2030595189422137303
6.0,17.1,6.0,6.0,0.89,0.00411,58.9,300.0,Compound 6355634904838962989,0.0,20.0,0.0052,380.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.2265872368058277e-06,Compound 6355634904838962989
6.0,160.0,6.0,6.0,1.0,600.0,131000.0,300.0,Compound 7275081564779322229,0.0,20.0,0.18,0.09,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 7275081564779322229
6.0,2000.0,6.0,6.0,1.0,1250.0,151000.0,300.0,Compound -1910581690078611150,0.0,20.0,0.025,0.006,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,8.816226356581265e-14,Compound -1910581690078611150
6.0,20.0,6.0,6.0,1.0,0.201,300.0,300.0,Compound -7535836963167172658,0.0,20.0,8.7,13000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.0078037464878217e-07,Compound -7535836963167172658
6.0,12.07,6.0,6.0,0.822,0.00048,73.88,300.0,Compound 2168439207869012833,0.0,20.0,0.4,250000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 2168439207869012833
6.0,0.08,6.0,6.0,0.95,17.1,74.0,300.0,Compound 6996595796297610667,0.0,20.0,0.13,2.28,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 6996595796297610667
6.0,3.65,6.0,6.0,0.902,0.263,104.7,300.0,Compound 5706184826956511538,0.0,20.0,0.053,60.4,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 5706184826956511538
6.0,4.2,6.0,6.0,0.85,1.03e-05,53.1,300.0,Compound -7967869515355144124,0.0,20.0,0.003,87400.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -7967869515355144124
6.0,15.1,6.0,6.0,0.91,0.0018,17.7,300.0,Compound -906415564952682460,0.0,20.0,0.0027,450.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.015338093549530965,Compound -906415564952682460
