combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,218.6,6.0,6.0,1.0,0.0221,16.0,300.0,Compound -5439765327299152776,0.0,20.0,0.0012,16.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,10.6746429293136,Compound -5439765327299152776
6.0,15.7,6.0,6.0,0.9,20.0,239.0,300.0,Compound 4256553906749736674,0.0,20.0,16.0,239.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 4256553906749736674
6.0,0.16,6.0,6.0,1.0,357000000.0,168.0,300.0,Compound -2104102934122608903,0.0,20.0,200000000.0,168.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,5.109039842780642e-11,Compound -2104102934122608903
6.0,224.0,6.0,6.0,1.0,461.0,1179677.21,300.0,Compound 5225296074839390079,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound 5225296074839390079
6.0,157.2,6.0,6.0,0.92,460.0,1179677.21,300.0,Compound -2082879002894643438,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0,Compound -2082879002894643438
6.0,38.92,6.0,6.0,1.0,-81000.0,-83146.88,300.0,Compound 8546973830295737062,0.0,20.0,22000000.0,-83146.8779,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 8546973830295737062
6.0,14.5,6.0,6.0,0.85,2.81,77.0,300.0,Compound -7697368157804264741,0.0,20.0,0.72,77.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -7697368157804264741
6.0,248.11,6.0,6.0,1.0,589.0,189337.21,300.0,Compound -7386912901820320484,0.0,20.0,370000.0,189337.2074,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,3.958061099231805e-13,Compound -7386912901820320484
6.0,192.48,6.0,6.0,1.0,486.0,301955.21,300.0,Compound 9005304561008357902,0.0,20.0,490000.0,301955.2065,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,3.049786598695891e-17,Compound 9005304561008357902
6.0,7.5,6.0,6.0,0.98,68700000.0,39.9,300.0,Compound -8775219610860134078,0.0,20.0,9100000.0,39.9,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.2536434022422104e-08,Compound -8775219610860134078
6.0,199.0,6.0,6.0,0.859,0.0436,15597.25,300.0,Compound 8166356067070080207,0.0,20.0,2.3,15597.2463,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 8166356067070080207
6.0,106.82,6.0,6.0,1.0,21100.0,188857.73,300.0,Compound -5800870131251738829,0.0,20.0,13000000.0,188857.731,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,1.5762359496793813e-07,Compound -5800870131251738829
6.0,67.0,6.0,6.0,1.03,468.0,1179677.21,300.0,Compound -2324545886565395849,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -2324545886565395849
