compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.koc,compound.metabolites.0.formation_fraction,compound.metabolites.0.metabolite.dt50.sediment,compound.metabolites.0.metabolite.dt50.soil,compound.metabolites.0.metabolite.dt50.surfaceWater,compound.metabolites.0.metabolite.dt50.system,compound.metabolites.0.metabolite.freundlich,compound.metabolites.0.metabolite.koc,compound.metabolites.0.metabolite.molarMass,compound.metabolites.0.metabolite.name,compound.metabolites.0.metabolite.plant_uptake,compound.metabolites.0.metabolite.reference_temperature,compound.metabolites.0.metabolite.vapor_pressure,compound.metabolites.0.metabolite.water_solubility,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,1.compound_pec,0.compound_name,1.compound_name
6.0,376.46,6.0,6.0,1.02824,184.11,0.2,6.0,52.93,6.0,6.0,0.89128,0.13,300.0,Compound 3462207967159229484,0.0,20.0,0.0001,80.0,300.0,Compound 998450692010356387,0.0,20.0,2.4e-06,150.3201,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,16.210323202803046,3.3748749570602667,Compound 998450692010356387,Compound 3462207967159229484
6.0,118.52,6.0,6.0,0.91303,26.35,0.2,6.0,71.5,6.0,6.0,0.7076,1.14,300.0,Compound -8507769596688625366,0.0,20.0,0.0001,80.0,300.0,Compound -7286829621121018884,0.0,20.0,6.7e-05,2.6729,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,8.663377466146272,1.9159185107499477,Compound -7286829621121018884,Compound -8507769596688625366
6.0,252.04,6.0,6.0,1.00018,419.86,0.2,6.0,12.15,6.0,6.0,0.7711,841.97,300.0,Compound 7164182283384156413,0.0,20.0,0.0001,80.0,300.0,Compound -7602393268599921600,0.0,20.0,3.5e-06,129.7338,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,2.668205684499841,0.005115031071961519,Compound -7602393268599921600,Compound 7164182283384156413
6.0,112.11,6.0,6.0,0.96945,4.17,0.2,6.0,100.08,6.0,6.0,0.91851,0.32,300.0,Compound 272825399355447292,0.0,20.0,0.0001,80.0,300.0,Compound 4199632440068385436,0.0,20.0,1e-05,81.0115,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,27.653577172384857,3.3420624227998417,Compound 4199632440068385436,Compound 272825399355447292
6.0,252.95,6.0,6.0,1.01228,2723.54,0.2,6.0,1.03,6.0,6.0,0.97949,230.17,300.0,Compound -1838606069015623293,0.0,20.0,0.0001,80.0,300.0,Compound -3583861079081166593,0.0,20.0,1.6e-08,104.5997,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,0.0006800545936881684,1.9230755185039615e-06,Compound -3583861079081166593,Compound -1838606069015623293
6.0,153.36,6.0,6.0,0.90768,9.66,0.2,6.0,2.01,6.0,6.0,1.1811,0.85,300.0,Compound 5787154898621400305,0.0,20.0,0.0001,80.0,300.0,Compound -3266903886843952504,0.0,20.0,2.4e-05,312.9045,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,29.090567647424653,0.09535265620068142,Compound -3266903886843952504,Compound 5787154898621400305
6.0,100.17,6.0,6.0,1.06825,3.45,0.2,6.0,1.21,6.0,6.0,1.08421,349.9,300.0,Compound 3579599332661909919,0.0,20.0,0.0001,80.0,300.0,Compound 7608657295859630258,0.0,20.0,1.7e-07,199.6434,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,27.707762861149796,0.04937717710690924,Compound 7608657295859630258,Compound 3579599332661909919
6.0,98.01,6.0,6.0,1.13582,1081.78,0.2,6.0,46.48,6.0,6.0,0.91838,815.05,300.0,Compound -5900888531977253311,0.0,20.0,0.0001,80.0,300.0,Compound 5772277589932891060,0.0,20.0,2.9e-05,36.1488,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,0.16183723813649198,0.003616990596616064,Compound 5772277589932891060,Compound -5900888531977253311
6.0,401.59,6.0,6.0,0.70052,0.86,0.2,6.0,2.73,6.0,6.0,0.70783,2207.85,300.0,Compound -7025240391580481371,0.0,20.0,0.0001,80.0,300.0,Compound -2224771735100560783,0.0,20.0,0.00012,3.5386,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,17.93082132929329,0.008117161577987144,Compound -2224771735100560783,Compound -7025240391580481371
6.0,247.59,6.0,6.0,1.09307,43.04,0.2,6.0,101.27,6.0,6.0,1.04763,2505.47,300.0,Compound 1517990192335260487,0.0,20.0,0.0001,80.0,300.0,Compound 5290721767638371493,0.0,20.0,0.0036,0.222,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,1.2850698730058703,0.007571088579204931,Compound 5290721767638371493,Compound 1517990192335260487
