compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,26.34,6.0,6.0,0.93046,0.000238,2.02,300.0,Compound 2115838664596462572,0.0,20.0,0.0057,7149.0433,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.355777560461544,Compound 2115838664596462572
6.0,13.42,6.0,6.0,0.97838,33500.0,266.87,300.0,Compound -8106662151897775254,0.0,20.0,16.0,0.1426,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.854109475018207e-05,Compound -8106662151897775254
6.0,28.2,6.0,6.0,0.99915,2.96,83.1,300.0,Compound -1488932122491997486,0.0,20.0,0.00091,0.092,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0009892907754246744,Compound -1488932122491997486
6.0,52.93,6.0,6.0,0.97385,1.79,867.13,300.0,Compound -5582447933447924656,0.0,20.0,0.0074,1.233,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.1530366933930804e-10,Compound -5582447933447924656
6.0,74.3,6.0,6.0,0.99797,0.000383,15.66,300.0,Compound -1798711466713385951,0.0,20.0,0.00044,345.3743,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,6.801068812127528,Compound -1798711466713385951
6.0,1.73,6.0,6.0,0.99605,1.04,269.64,300.0,Compound -4567247753051338296,0.0,20.0,46.0,13356.4726,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.650586138135235e-21,Compound -4567247753051338296
6.0,20.43,6.0,6.0,0.98502,12000.0,236.16,300.0,Compound -1462148969061830156,0.0,20.0,12000.0,298.8341,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0001411978191363633,Compound -1462148969061830156
6.0,33.97,6.0,6.0,0.90656,0.736,6.83,300.0,Compound 2994538919928496820,0.0,20.0,2.1,837.1432,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.18802507836990595,Compound 2994538919928496820
6.0,208.06,6.0,6.0,0.99837,2.62,347.05,300.0,Compound -7116847680983254277,0.0,20.0,0.037,4.289,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.030795556583065847,Compound -7116847680983254277
6.0,19.73,6.0,6.0,0.96299,8.93e-07,132.42,300.0,Compound -1859249623898285889,0.0,20.0,9.3e-09,3.136,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.756344551505842e-05,Compound -1859249623898285889
6.0,299.37,6.0,6.0,0.98001,534000.0,488.5,300.0,Compound 2521231127719495245,0.0,20.0,1600.0,0.9178,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.1495621299234155e-05,Compound 2521231127719495245
6.0,228.75,6.0,6.0,0.90473,0.0874,0.62,300.0,Compound 2472935551517754862,0.0,20.0,0.15,513.47,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,11.264451260386647,Compound 2472935551517754862
6.0,39.5,6.0,6.0,0.93451,0.108,419.12,300.0,Compound 7956615337153147497,0.0,20.0,0.34,945.8342,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.3258794519110535e-11,Compound 7956615337153147497
6.0,1534.84,6.0,6.0,0.9616,3280.0,156.61,300.0,Compound 4533660243670787518,0.0,20.0,420.0,38.0962,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0010396203491928502,Compound 4533660243670787518
6.0,1.21,6.0,6.0,0.90594,110000000.0,72.2,300.0,Compound -6138198877692839354,0.0,20.0,380000.0,1.0224,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.237748600009879e-09,Compound -6138198877692839354
6.0,1.38,6.0,6.0,0.91412,2.28e-08,317.73,300.0,Compound 294154167301782065,0.0,20.0,1.2e-06,16149.3695,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 294154167301782065
6.0,5.81,6.0,6.0,0.92813,1.07e-10,1330.32,300.0,Compound 5192457625042223947,0.0,20.0,6.4e-08,177969.5385,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 5192457625042223947
6.0,153.56,6.0,6.0,0.93697,857.0,8.13,300.0,Compound -4606292053294921435,0.0,20.0,440.0,153.3812,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0023213816637426827,Compound -4606292053294921435
6.0,652.84,6.0,6.0,0.92963,7320.0,230.01,300.0,Compound -8362746125491913616,0.0,20.0,1600.0,65.9838,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0005227297025828517,Compound -8362746125491913616
