combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,37.01,6.0,6.0,0.92058,0.00046,10.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.5880974183549814,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,20.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.7796262058392531,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,30.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.366612523666631,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,40.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.17418774539414072,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,50.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.08078953416655028,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,60.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.038028219987897405,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,70.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.016423756289294895,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,80.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.007351642417340415,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,90.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0036462399800483783,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,100.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0018209274233676347,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,150.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.0151068398399096e-05,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,200.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.459542976821594e-07,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,250.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.7251822169624496e-08,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,300.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.765933734073456e-10,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,350.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.214397686894726e-12,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,400.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.3551691573176168e-13,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,450.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.8992028364280936e-15,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,500.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.667931546842323e-17,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,550.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.159013218411854e-18,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,600.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.658811073129001e-20,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,650.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,37.01,6.0,6.0,0.92058,0.00046,700.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
