combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,43.18,6.0,6.0,0.92058,0.00046,10.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.3380133070875733,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,20.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.2474598280136835,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,30.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.658944870146108,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,40.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.3453965946843853,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,50.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.17443658939626677,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,60.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.08767733295182265,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,70.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.04227477848448758,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,80.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.022537558767397478,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,90.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.012283295472603036,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,100.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.006713852884076743,Compound 3195551981900868001
6.0,43.18,6.0,6.0,0.92058,0.00046,150.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0002512815265101372,Compound 3195551981900868001
