combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,41.12,6.0,6.0,0.92058,0.00046,10.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.0788801935853165,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,20.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.0740920111100651,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,30.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.5510810738398886,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,40.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.2807268700291956,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,50.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.13789420704743283,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,60.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.06799577733854778,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,70.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.031640310227301516,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,80.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.016061622802793545,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,90.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.008512301777909398,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,100.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.004528529575109108,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,150.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.00014472658638921789,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,200.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.940815124400437e-06,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,250.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.141421875195818e-07,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,300.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.832719267251247e-09,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,350.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,9.393971721128705e-11,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,400.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.24766640608338e-12,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,450.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.925296528350146e-14,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,500.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.9325936464559488e-15,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,550.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.87382495035018e-17,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,600.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.0080575249718828e-18,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,650.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.79394175369723e-20,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,700.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,750.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,800.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,850.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,900.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,41.12,6.0,6.0,0.92058,0.00046,950.0,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
