combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,1.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,2.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,3.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.232721756275579e-18,Compound 3195551981900868001
6.0,4.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.718729671465695e-15,Compound 3195551981900868001
6.0,5.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.3200193906372631e-12,Compound 3195551981900868001
6.0,6.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.9472088947972684e-10,Compound 3195551981900868001
6.0,7.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.997881152689137e-09,Compound 3195551981900868001
6.0,8.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.785289384993539e-08,Compound 3195551981900868001
6.0,9.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.217690925739766e-07,Compound 3195551981900868001
6.0,10.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.3886980701462912e-06,Compound 3195551981900868001
6.0,15.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,9.221312780020893e-05,Compound 3195551981900868001
6.0,20.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0012278944132046703,Compound 3195551981900868001
6.0,25.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.006290522631554494,Compound 3195551981900868001
6.0,30.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.02060238037052553,Compound 3195551981900868001
6.0,35.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.051014130358888424,Compound 3195551981900868001
6.0,40.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.10469241667830377,Compound 3195551981900868001
6.0,45.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.18682245845552298,Compound 3195551981900868001
6.0,50.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.30057423311455567,Compound 3195551981900868001
6.0,60.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.6125994954486198,Compound 3195551981900868001
6.0,70.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.0439218117815,Compound 3195551981900868001
6.0,80.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.5786948463680466,Compound 3195551981900868001
6.0,90.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.1964884652853445,Compound 3195551981900868001
6.0,100.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.8911130312339988,Compound 3195551981900868001
6.0,110.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.6106165340036305,Compound 3195551981900868001
6.0,120.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.355315598014455,Compound 3195551981900868001
6.0,130.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.121312425022987,Compound 3195551981900868001
6.0,140.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.879421360151507,Compound 3195551981900868001
6.0,150.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.63108485454697,Compound 3195551981900868001
6.0,160.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.359431003584229,Compound 3195551981900868001
6.0,170.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.078378091661039,Compound 3195551981900868001
6.0,180.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.898064716365312,Compound 3195551981900868001
6.0,190.0,6.0,6.0,0.92058,0.00046,51.95,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,9.656170475896023,Compound 3195551981900868001
