combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,1.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,2.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,3.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.4794719166104019e-19,Compound 3195551981900868001
6.0,4.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.396869912344281e-16,Compound 3195551981900868001
6.0,5.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.287953706237779e-13,Compound 3195551981900868001
6.0,6.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.047326122424316e-11,Compound 3195551981900868001
6.0,7.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.2483872137289266e-09,Compound 3195551981900868001
6.0,8.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.7052655749592117e-08,Compound 3195551981900868001
6.0,9.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.245250128977536e-07,Compound 3195551981900868001
6.0,10.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.712813808903385e-07,Compound 3195551981900868001
6.0,15.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.9448537488623175e-05,Compound 3195551981900868001
6.0,20.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0005992369150563761,Compound 3195551981900868001
6.0,25.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.003401149455383326,Compound 3195551981900868001
6.0,30.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.01223099369268724,Compound 3195551981900868001
6.0,35.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.03293537622771493,Compound 3195551981900868001
6.0,40.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.07161763080109854,Compound 3195551981900868001
6.0,45.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.12975005419985527,Compound 3195551981900868001
6.0,50.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.21183888494708122,Compound 3195551981900868001
6.0,60.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.4568346105494035,Compound 3195551981900868001
6.0,70.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.8107942003339272,Compound 3195551981900868001
6.0,80.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.2683851766513057,Compound 3195551981900868001
6.0,90.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.8212525601638505,Compound 3195551981900868001
6.0,100.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.4417562724014337,Compound 3195551981900868001
6.0,110.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.1117336964111155,Compound 3195551981900868001
6.0,120.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.7949919703951966,Compound 3195551981900868001
6.0,130.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.484595377740538,Compound 3195551981900868001
6.0,140.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.20343510939924,Compound 3195551981900868001
6.0,150.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.931340086592741,Compound 3195551981900868001
6.0,160.0,6.0,6.0,0.92058,0.00046,57.41,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.654358257671252,Compound 3195551981900868001
