combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,1.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,2.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,3.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.868212633489221e-19,Compound 3195551981900868001
6.0,4.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,9.41743766116667e-16,Compound 3195551981900868001
6.0,5.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.198155638007197e-13,Compound 3195551981900868001
6.0,6.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.4443428605958062e-10,Compound 3195551981900868001
6.0,7.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.2483956734545894e-09,Compound 3195551981900868001
6.0,8.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.817692911958426e-08,Compound 3195551981900868001
6.0,9.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.5341427584578663e-07,Compound 3195551981900868001
6.0,10.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.196104441199361e-07,Compound 3195551981900868001
6.0,15.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.834449047484543e-05,Compound 3195551981900868001
6.0,20.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0008639052972289175,Compound 3195551981900868001
6.0,25.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.004689062863659638,Compound 3195551981900868001
6.0,30.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.015830749895266023,Compound 3195551981900868001
