compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,1.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 3531248556905510213
6.0,2.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 3531248556905510213
6.0,3.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,6.868212633489221e-19,Compound 3531248556905510213
6.0,4.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,9.41743766116667e-16,Compound 3531248556905510213
6.0,5.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.198155638007197e-13,Compound 3531248556905510213
6.0,6.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.4443428605958062e-10,Compound 3531248556905510213
6.0,7.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.2483956734545894e-09,Compound 3531248556905510213
6.0,8.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.817692911958426e-08,Compound 3531248556905510213
6.0,9.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.5341427584578663e-07,Compound 3531248556905510213
6.0,10.0,6.0,6.0,0.92058,0.00046,54.68,300.0,Compound 3531248556905510213,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.196104441199361e-07,Compound 3531248556905510213
