compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,1536.22,6.0,6.0,0.98121,110.0,61.1,300.0,Compound 4089199499863261701,0.0,20.0,11.0,29.9327,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0409256534971466,Compound 4089199499863261701
6.0,127.02,6.0,6.0,0.90516,0.527,13315.88,300.0,Compound 7259125097319591860,0.0,20.0,1.1,646.8977,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 7259125097319591860
6.0,8.55,6.0,6.0,0.9836,0.00136,52.91,300.0,Compound 4100197759400566190,0.0,20.0,0.011,2474.9585,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,4.6430978746818903e-05,Compound 4100197759400566190
6.0,84.36,6.0,6.0,0.92595,41400.0,6.94,300.0,Compound 4020295645337535917,0.0,20.0,210000.0,1522.6687,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.00012059892985157444,Compound 4020295645337535917
6.0,29.95,6.0,6.0,0.98978,0.0242,22.62,300.0,Compound -8189127319864252130,0.0,20.0,0.036,440.1044,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.23201876749549594,Compound -8189127319864252130
6.0,5.49,6.0,6.0,0.98018,2.22e-05,301.54,300.0,Compound -6306574705555384431,0.0,20.0,5.8e-08,0.7798,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.4063157261232042e-15,Compound -6306574705555384431
6.0,0.68,6.0,6.0,0.96429,1.41e-07,94.83,300.0,Compound -4065678332881639880,0.0,20.0,0.00048,1016874.3869,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.200632625395391e-22,Compound -4065678332881639880
6.0,14.68,6.0,6.0,0.94539,1.52e-06,932.31,300.0,Compound 2115174136939405109,0.0,20.0,5.6e-07,111.2951,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 2115174136939405109
6.0,14.23,6.0,6.0,0.94673,1.94e-12,626.0,300.0,Compound 7261874395231487390,0.0,20.0,2.5e-11,3939.114,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 7261874395231487390
6.0,345.01,6.0,6.0,0.91064,0.000343,217.95,300.0,Compound 6524603252888100227,0.0,20.0,0.029,25242.5536,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.876279738277265,Compound 6524603252888100227
